lab,subid,session_error_change_reason
elp-georgetown,8531,age exclusion
elp-georgetown,8719,age exclusion
elp-georgetown,8767,age exclusion
elp-georgetown,8966,age exclusion
elp-georgetown,8909,age exclusion
elp-georgetown,8711,age exclusion
elp-georgetown,8869,age exclusion
elp-georgetown,8971,age exclusion
elp-georgetown,8552,age exclusion
upf_barcelona,subj18,age exclusion
upf_barcelona,subj24,age exclusion
upf_barcelona,subj26,age exclusion
upf_barcelona,subj28,age exclusion
babylab-princeton,manybabiesbl005,language exclusion
babylab-princeton,manybabiesbl010,language exclusion
babylab-princeton,manybabiesbl016,language exclusion
nusinfantlanguagecentre,mbg024,language exclusion
nusinfantlanguagecentre,mbg023,language exclusion
irl-concordia,gf12_s04,language exclusion
irl-concordia,gf12_s09,language exclusion
irl-concordia,gf12_s17,language exclusion
irl-concordia,gf6_s18,language exclusion
irl-concordia,gf6_s20,language exclusion
irl-concordia,gf6_s21,language exclusion
koku-hamburg,mb_01_gf,language exclusion
lll-liv,gf024,language exclusion
lll-liv,gf025,language exclusion
lll-liv,gf028,language exclusion
upf_barcelona,subj02,language exclusion
upf_barcelona,subj10,language exclusion
upf_barcelona,subj23,language exclusion
upf_barcelona,subj32,language exclusion
upf_barcelona,subj33,language exclusion
upf_barcelona,subj46,language exclusion
irl-concordia,gf6_s29,language exclusion
elp-georgetown,8855,preterm exclusion
