lab,subid,session_error_type_recoded
irl-concordia,gf12_s20,fussiness
babylab-brookes,g44,equipment failure
babylab-brookes,g33,equipment failure
babylab-brookes,g118,equipment failure
babylab-brookes,g147,equipment failure
weltentdecker-zurich,gf_12911,fussiness
weltentdecker-zurich,gf_12989,fussiness
weltentdecker-zurich,gf_13721,fussiness
weltentdecker-zurich,mb_13730,fussiness
weltentdecker-zurich,gf_13782,fussiness
weltentdecker-zurich,gf_13968,fussiness
weltentdecker-zurich,gf_14207,fussiness
koku-hamburg,mb_25_gf,equipment failure
weltentdecker-zurich,gf_12588,outside interference
cdc-ceu,mb39,fussiness
babylab-brookes,g133,experimenter error
babylab-brookes,g21,fussiness
babylab-brookes,g22,fussiness
babylab-brookes,g48,fussiness
lll-liv,gf021,outside interference
babylab-brookes,g35,outside interference
koku-hamburg,mb_15_gf,equipment failure
koku-hamburg,mb_16_gf,equipment failure
lll-liv,gfp4,outside interference
koku-hamburg,mb_33_gf,equipment failure
babylab-brookes,g25,equipment failure
babylab-brookes,g23,equipment failure
weltentdecker-zurich,gf_13787,equipment failure
lll-liv,gf005,equipment failure
lll-liv,gf008,equipment failure
lll-liv,gf009,equipment failure
lll-liv,gf011,equipment failure
lll-liv,gf012,equipment failure
lll-liv,gf013,equipment failure
lll-liv,gf015,fussiness
lll-liv,gf045,fussiness
babylab-brookes,g122,fussiness
babylab-brookes,g132,fussiness
babylab-brookes,g91,fussiness
koku-hamburg,mb_07_gf,fussiness
koku-hamburg,mb_18_gf,fussiness
koku-hamburg,mb_23_gf,fussiness
koku-hamburg,mb_26_gf,fussiness
babylab-brookes,g127,fussiness
babylab-brookes,g141,fussiness
babylab-brookes,g117,fussiness
upf_barcelona,subj01,fussiness
