lab,subid,session_error,session_error_type,notes
babylab-princeton,manybabiesbl005,error,language exclusion,ra is a postdoc
babylab-princeton,manybabiesbl010,error,language exclusion,"ra is a full time lab manager, post-undergrad"
babylab-princeton,manybabiesbl016,error,language exclusion,ra is a postdoc
babylab-brookes,g140,na,na,very good
babylab-brookes,g15,na,na,NA
babylab-brookes,g21,error,fussy,a little fussy
babylab-brookes,g64,na,na,NA
babylab-brookes,g56,na,na,ok
babylab-brookes,g25,error,software problem,ok
babylab-brookes,g14,na,na,calibration problems
babylab-brookes,g22,error,fussy,ok
babylab-brookes,g41,na,na,very good
babylab-brookes,g63,na,na,NA
babylab-brookes,g38,na,na,good
babylab-brookes,g97,na,na,leaning forwards
babylab-brookes,g101,na,na,very good
babylab-brookes,g89,na,na,ok
babylab-brookes,g19,na,na,ok
babylab-brookes,g39,na,na,ok
babylab-brookes,g33,error,calibration problems,calibration problems
babylab-brookes,g40,na,na,ok
babylab-brookes,g95,na,na,ok
babylab-brookes,g77,na,na,ok
babylab-brookes,g54,na,na,some calibration problems
babylab-brookes,g129,na,na,very good
babylab-brookes,g118,error,calibration problems,calibration problems
babylab-brookes,g45,na,na,ok
babylab-brookes,g24,na,na,ok
babylab-brookes,g5,na,na,ok
babylab-brookes,g36,na,na,very good
babylab-brookes,g79,na,na,ok
babylab-brookes,g42,na,na,NA
babylab-brookes,g81,na,na,ok
babylab-brookes,g47,na,na,ok
babylab-brookes,g78,na,na,ok
babylab-brookes,g115,na,na,ok some calibration problems
babylab-brookes,g61,na,na,ok
babylab-brookes,g62,na,na,ok
babylab-brookes,g143,na,na,ok
babylab-brookes,g145,na,na,ok
babylab-brookes,g59,na,na,ok
babylab-brookes,g50,na,na,good
babylab-brookes,g142,na,na,very good
babylab-brookes,g148,na,na,very good
babylab-brookes,g85,na,na,ok
babylab-brookes,g128,na,na,very good
babylab-brookes,g88,na,na,ok
babylab-brookes,g90,na,na,ok
babylab-brookes,g136,na,na,very good
babylab-brookes,g44,error,"calibration problem, wiggly","calibration problem, wiggly"
babylab-brookes,g122,error,too fussy,too fussy
babylab-brookes,g144,na,na,ok
babylab-brookes,g48,error,moved position,NA
babylab-brookes,g80,na,na,ok
babylab-brookes,g4,na,na,good
babylab-brookes,g151,na,na,"ok, but leaning forwards"
babylab-brookes,g72,na,na,ok but moving
babylab-brookes,g114,na,na,ok
babylab-brookes,g137,na,na,very good
babylab-brookes,g147,error,calibration problems,calibration problems
babylab-brookes,g131,na,na,very good
babylab-brookes,g133,error,experimenter error,experimenter error
babylab-brookes,g119,na,na,quite good
babylab-brookes,g123,na,na,very good
babylab-brookes,g98,na,na,very good
babylab-brookes,g150,na,na,good
babylab-brookes,g127,error,uninterested,"uninterested, playing with the curtains"
babylab-brookes,g132,error,too fussy,too fussy
babylab-brookes,g126,na,na,ok
babylab-brookes,g130,na,na,good
babylab-brookes,g82,na,na,ok
babylab-brookes,g152,na,na,"ok, but uninterested"
babylab-brookes,g7,na,na,ok
babylab-brookes,g149,na,na,ok but calibration problems
babylab-brookes,g112,na,na,ok
babylab-brookes,g65,na,na,"small eyes, calibration problems"
babylab-brookes,g49,na,na,good
babylab-brookes,g20,na,na,uninterested
babylab-brookes,g102,na,na,ok
babylab-brookes,g109,na,na,ok
babylab-brookes,g68,na,na,ok
babylab-brookes,g69,na,na,ok
babylab-brookes,g60,na,na,very good
babylab-brookes,g70,na,na,ok
